card_id,face_index,name,side,color_indicator,colors,defense,mana_value,loyalty,mana_cost,power,text,toughness,type
2-mace,0,+2 Mace,,,['W'],,2.0,,{1}{W},,"Equipped creature gets +2/+2.
Equip {3} ({3}: Attach to target creature you control. Equip only as a sorcery.)",,Artifact — Equipment
a-killer-among-us,0,A Killer Among Us,,,['G'],,5.0,,{4}{G},,"When this enchantment enters, create a 1/1 white Human creature token, a 1/1 blue Merfolk creature token, and a 1/1 red Goblin creature token. Then secretly choose Human, Merfolk, or Goblin.
Sacrifice this enchantment, Reveal the creature type you chose: If target attacking creature token is the chosen type, put three +1/+1 counters on it and it gains deathtouch until end of turn.",,Enchantment
a-little-chat,0,A Little Chat,,,['U'],,2.0,,{1}{U},,"Casualty 1 (As you cast this spell, you may sacrifice a creature with power 1 or greater. When you do, copy this spell.)
Look at the top two cards of your library. Put one of them into your hand and the other on the bottom of your library.",,Instant
a-realm-reborn,0,A Realm Reborn,,,['G'],,6.0,,{4}{G}{G},,"Other permanents you control have ""{T}: Add one mana of any color.""",,Enchantment
a-tale-for-the-ages,0,A Tale for the Ages,,,['W'],,2.0,,{1}{W},,Enchanted creatures you control get +2/+2.,,Enchantment
aang-a-lot-to-learn,0,"Aang, A Lot to Learn",,,"['G', 'W']",,3.0,,{2}{G/W},3,"Aang has vigilance as long as there's a Lesson card in your graveyard.
Whenever another creature you control dies, put a +1/+1 counter on Aang.",2,Legendary Creature — Human Avatar Ally
aang-air-nomad,0,"Aang, Air Nomad",,,['W'],,5.0,,{3}{W}{W},5,"Flying (This creature can't be blocked except by creatures with flying or reach.)
Vigilance (Attacking doesn't cause this creature to tap.)
Other creatures you control have vigilance.",4,Legendary Creature — Human Avatar Ally
aang-airbending-master,0,"Aang, Airbending Master",,,['W'],,5.0,,{4}{W},4,"When Aang enters, airbend another target creature. (Exile it. While it's exiled, its owner may cast it for {2} rather than its mana cost.)
Whenever one or more creatures you control leave the battlefield without dying, you get an experience counter.
At the beginning of your upkeep, create a 1/1 white Ally creature token for each experience counter you have.",4,Legendary Creature — Human Avatar Ally
aang-and-katara,0,Aang and Katara,,,"['G', 'U', 'W']",,6.0,,{3}{G}{W}{U},5,"Whenever Aang and Katara enter or attack, create X 1/1 white Ally creature tokens, where X is the number of tapped artifacts and/or creatures you control.",5,Legendary Creature — Human Avatar Ally
aang-at-the-crossroads-aang-destined-savior,0,"Aang, at the Crossroads",a,,"['G', 'U', 'W']",,5.0,,{2}{G}{W}{U},3,"Flying
When Aang enters, look at the top five cards of your library. You may put a creature card with mana value 4 or less from among them onto the battlefield. Put the rest on the bottom of your library in a random order.
When another creature you control leaves the battlefield, transform Aang at the beginning of the next upkeep.",3,Legendary Creature — Human Avatar Ally
aang-at-the-crossroads-aang-destined-savior,1,"Aang, Destined Savior",b,,[],,5.0,,,4,"Flying
Land creatures you control have vigilance.
At the beginning of combat on your turn, earthbend 2. (Target land you control becomes a 0/0 creature with haste that's still a land. Put two +1/+1 counters on it. When it dies or is exiled, return it to the battlefield tapped.)",4,Legendary Creature — Avatar Ally
aang-s-defense,0,Aang's Defense,,,['W'],,1.0,,{W},,"Target blocking creature you control gets +2/+2 until end of turn.
Draw a card.",,Instant
aang-s-iceberg,0,Aang's Iceberg,,,['W'],,3.0,,{2}{W},,"Flash
When this enchantment enters, exile up to one other target nonland permanent until this enchantment leaves the battlefield.
Waterbend {3}: Sacrifice this enchantment. If you do, scry 2. (While paying a waterbend cost, you can tap your artifacts and creatures to help. Each one pays for {1}.)",,Enchantment
aang-s-journey,0,Aang's Journey,,,[],,2.0,,{2},,"Kicker {2} (You may pay an additional {2} as you cast this spell.)
Search your library for a basic land card. If this spell was kicked, instead search your library for a basic land card and a Shrine card. Reveal those cards, put them into your hand, then shuffle.
You gain 2 life.",,Sorcery — Lesson
aang-swift-savior-aang-and-la-ocean-s-fury,0,"Aang, Swift Savior",a,,"['U', 'W']",,3.0,,{1}{W}{U},2,"Flash
Flying
When Aang enters, airbend up to one other target creature or spell. (Exile it. While it's exiled, its owner may cast it for {2} rather than its mana cost.)
Waterbend {8}: Transform Aang.",3,Legendary Creature — Human Avatar Ally
aang-swift-savior-aang-and-la-ocean-s-fury,1,"Aang and La, Ocean's Fury",b,,[],,3.0,,,5,"Reach, trample
Whenever Aang and La attack, put a +1/+1 counter on each tapped creature you control.",5,Legendary Creature — Avatar Spirit Ally
aang-the-last-airbender,0,"Aang, the Last Airbender",,,['W'],,4.0,,{3}{W},3,"Flying
When Aang enters, airbend up to one other target nonland permanent. (Exile it. While it's exiled, its owner may cast it for {2} rather than its mana cost.)
Whenever you cast a Lesson spell, Aang gains lifelink until end of turn.",2,Legendary Creature — Human Avatar Ally
aarakocra-sneak,0,Aarakocra Sneak,,,['U'],,4.0,,{3}{U},1,"Flying
When this creature enters, you take the initiative.",4,Creature — Bird Rogue
aardvark-sloth,0,Aardvark Sloth,,,['W'],,4.0,,{3}{W},3,Lifelink (Damage dealt by this creature also causes you to gain that much life.),3,Creature — Sloth Beast
aatchik-emerald-radian,0,"Aatchik, Emerald Radian",,,"['B', 'G']",,6.0,,{3}{B}{B}{G},3,"When Aatchik enters, create a 1/1 green Insect creature token for each artifact and/or creature card in your graveyard.
Whenever another Insect you control dies, put a +1/+1 counter on Aatchik. Each opponent loses 1 life.",3,Legendary Creature — Insect Druid
abaddon-the-despoiler,0,Abaddon the Despoiler,,,"['B', 'R', 'U']",,5.0,,{2}{U}{B}{R},5,"Trample
Mark of Chaos Ascendant — During your turn, spells you cast from your hand with mana value X or less have cascade, where X is the total amount of life your opponents have lost this turn.",5,Legendary Creature — Astartes Warrior
abandon-attachments,0,Abandon Attachments,,,"['R', 'U']",,2.0,,{1}{U/R},,"You may discard a card. If you do, draw two cards.",,Instant — Lesson
abandon-hope,0,Abandon Hope,,,['B'],,2.0,,{X}{1}{B},,"As an additional cost to cast this spell, discard X cards.
Look at target opponent's hand and choose X cards from it. That player discards those cards.",,Sorcery
abandon-reason,0,Abandon Reason,,,['R'],,3.0,,{2}{R},,"Up to two target creatures each get +1/+0 and gain first strike until end of turn. (They deal combat damage before creatures without first strike.)
Madness {1}{R} (If you discard this card, discard it into exile. When you do, cast it for its madness cost or put it into your graveyard.)",,Instant
